Nº	Nome	Gênero	Diretor	Ano Lançamento	Nota	titleId	rating_IMDB	Escritor	Ator/Atriz			
73	American Pie 3	Comédia	Jesse Dylan	2003	7.5	tt0328828	6.3	Adam Herz	Jason Biggs, Alyson Hannigan, Seann William Scott, Eugene Levy			
74	De Repente 30	Comédia	Gary Winick	2004	5.5	tt0337563	6.3	Cathy Yuspa	Jennifer Garner, Mark Ruffalo, Judy Greer, Andy Serkis			
75	Homem-Aranha 3	Ação	Sam Raimi	2007	7.5	tt0413300	6.3	Sam Raimi	Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church			
76	Uma Noite Fora de Série	Comédia	Shawn Levy	2010	7.0	tt1279935	6.3	Josh Klausner	Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson			
77	O Retorno de Johnny English	Comédia	Oliver Parker	2011	7.0	tt1634122	6.3	Robert Wade	Rowan Atkinson, Rosamund Pike, Dominic West, Roger Barclay			
78	Eu Queria Ter a Sua Vida	Comédia	David Dobkin	2011	6.0	tt1488555	6.3	Scott Moore	Jason Bateman, Ryan Reynolds, Olivia Wilde, Leslie Mann			
79	Invocação do Mal 3: A Ordem do Demônio	Horror	Michael Chaves	2021	7.5	tt7069210	6.3	Carey W. Hayes	Patrick Wilson, Vera Farmiga, Ruairi O'Connor, Sarah Catherine Hook			
80	Ninguém Vai Te Salvar	Thriller	Brian Duffield	2023	6.5	tt14509110	6.3	Brian Duffield	Kaitlyn Dever, Elizabeth Kaluev, Zack Duhame, Lauren L. Murray			
81	Good Morning, Vietnam	Drama	Barry Levinson	1987	9.0	tt0093105	7.3	Mitch Markowitz	Robin Williams, Forest Whitaker, Tom. T. Tran, Chintara Sukapatana			
82	Debi & Lóide: Dois Idiotas em Apuros	Comédia	Farrellys	1994	6.5	tt0109686	7.3	Bennett Yellin	Jim Carrey, Jeff Daniels, Lauren Holly, Mike Starr			
83	Harry Potter e a Pedra Filosofal	Aventura	Chris Columbus	2001	7.5	tt0241527	7.6	J.K. Rowling	Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon			
84	Os Simpsons: O Filme	Comédia	David Silverman	2007	8.5	tt0462538	7.3	Ian Maxtone-Graham	Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith			
85	Megamente	Comédia	Tom McGrath	2010	7.5	tt1001526	7.3	Brent Simons	Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey			
